commentCount,comment_description_cosine,comment_title_cosine,comment_total_words,comment_unique_words,dislikeCount,keyword,keyword_decription_cosine,keyword_title_cosine,likeCount,negative_comment_count,neutral_comment_count,postive_comment_count,rank,video_id,viewCount
5.0,0.2982929334569934,0.0676868092719854,26.0,26.0,1.0,abnormal fat metabolism,0.05981849081258819,0.09306613716188188,1.0,0.0,1.0,1.0,29.0,mZwAHIHVomo,5460.0
10.0,0.95068748573116,0.216059928455971,115.0,102.0,1.0,abnormal fat metabolism,0.15572067410339843,0.0,1.0,0.0,1.0,7.0,30.0,TZ35PGHx61Y,4624.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal fat metabolism,0.1567698911392066,0.12418014578972927,0.0,0.0,0.0,0.0,31.0,EVv9v-vW87E,313.0
158.0,14.159335329241035,2.333344703114894,3172.0,2299.0,43.0,abnormal fat metabolism,0.040930746299869473,0.12643207267563364,43.0,17.0,26.0,57.0,32.0,S08PFK6Nu9U,88289.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal fat metabolism,0.031759307297522216,0.0,0.0,0.0,0.0,0.0,33.0,P_NoKv4kr64,142.0
165.0,2.595639519452079,2.473261439057611,2810.0,2284.0,12.0,abnormal fat metabolism,0.0,0.1766742543392396,12.0,10.0,20.0,70.0,34.0,NSA1gtesYqM,27332.0
311.0,1.400631126642893,0.9832477008755885,1437.0,1251.0,679.0,abnormal fat metabolism,0.0,0.14839576470530663,679.0,20.0,33.0,47.0,35.0,rN7qaZ768io,467328.0
155.0,6.437262288022716,3.189993528751481,1421.0,1189.0,51.0,abnormal fat metabolism,0.0964856729702744,0.0,51.0,9.0,29.0,28.0,36.0,7wXaOAYcuWM,40150.0
5.0,0.5041693439891768,0.19848857536047115,100.0,82.0,1.0,abnormal fat metabolism,0.048527396218892536,0.1014644675381463,1.0,1.0,0.0,2.0,37.0,l7zO3hiI5L0,3803.0
23.0,1.5979849543008138,0.457022675595389,588.0,432.0,0.0,abnormal fat metabolism,0.06300465851792157,0.0,0.0,5.0,1.0,3.0,38.0,nMoNX2YvN0E,74.0
71.0,2.4822747756699597,0.5873905454017416,575.0,495.0,8.0,abnormal fat metabolism,0.08033366483890916,0.0,8.0,10.0,11.0,27.0,39.0,aBfbRLRXLco,30527.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal fat metabolism,0.03097952025634954,0.0,0.0,0.0,0.0,0.0,40.0,FM8erAmcZqE,27.0
4.0,0.8921112005387966,0.14464892391647977,291.0,182.0,1.0,abnormal fat metabolism,0.242526614399311,0.0,1.0,2.0,0.0,2.0,41.0,IyrUBlXHvKw,3383.0
